broken,no,word,ipa,th,ipa2,th2,translates/0/type,translates/0/th,translates/1/type,translates/1/th,translates/2/type,translates/2/th,translates/3/type,translates/3/th,translates/4/type,translates/4/th,translates/5/type,translates/5/th,translates/6/type,translates/6/th,translates/7/type,translates/7/th,examples/0/word,examples/0/type,examples/0/th
,547,က,kaˀ ,กะ ,,,n,พยัญชนะมอญตัวที่ 1,n,ปลา,adj,กว่า,adj,เกิน,,,,,,,,,ၜါစ်ှောဟွံက,adj,"ยี่สิบกว่า, เกินยี่สิบ"
,548,ကကြင်,kaˀ-kraˀŋ ,กะ-กรัง ,,,n,ปลาตะเพียน,,,,,,,,,,,,,,,,,
,549,ကကြင်ခေါ,kaˀ-kraˀŋ-kʰao ,กะ-กรัง-เคา ,,,n,ปลาตะเพียนขาว,,,,,,,,,,,,,,,,,
,550,ကကြင်ထင်,kaˀ-kraˀŋ-tʰaˀŋ ,กะ-กรัง-ทัง ,,,n,ปลาตะเพียนทอง,,,,,,,,,,,,,,,,,
,551,ကကၠ,kaˀ-klaˀ ,กะ-กละ ,,,n,ปลาชะโด,,,,,,,,,,,,,,,,,
,552,ကကၠိက်,kaˀ-klɤk ,กะ-เกลิก ,,,n,ปลาหมู,,,,,,,,,,,,,,,,,
,553,ကကၠဴ,kaˀ-klao ,กะ-กลาว ,,,n,ปลาตีน,,,,,,,,,,,,,,,,,
,554,ကခတေတ်,kaˀ-kʰaˀ-tet ,กะ-คะ-เตด ,,,n,ปลากะพง,,,,,,,,,,,,,,,,,
,555,ကခပိုင်,kaˀ-kʰaˀ-pɒŋ ,กะ-คะ-ปาฺง ,,,n,ปลาสวาย,,,,,,,,,,,,,,,,,
,556,ကဂဂေါင်,kaˀ-kɛ̀ˀ-kòŋ ,กะ-เกี่ยะ-โก่ง ,,,n,ปลาเข็ม,,,,,,,,,,,,,,,,,
,557,ကဂဗံင်,kaˀ-kɛ̀ˀ-pɒˀŋ ,กะ-เกี่ยะ-ป่อง ,,,n,ปลากระพงชนิดใหญ่,,,,,,,,,,,,,,,,,
,558,ကဂြင်ဗှ်,kaˀ-krɛˀŋ-pòh ,กะ-แกร่ง-โป่ฮ ,,,n,ปลาโลมา,,,,,,,,,,,,,,,,,
,559,ကဃြု,kaˀ-kʰɛ̤ˀruˀ ,กะ-เคี่ยะรุ่ ,,,n,ปลากะสง,,,,,,,,,,,,,,,,,
,560,ကစိန်,kaˀ-cɔeˀn ,กะ-จิน ,,,n,แหวน,,,,,,,,,,,,,,,,,
,561,ကစိန်ဇိင်ယာတ်,kaˀ-cɔeˀn-cɤˀŋ-ja̤t ,กะ-จิน-เจิ่ง-ย่าด ,,,n,ปลอกนิ้ว,,,,,,,,,,,,,,,,,
,562,ကစိန်ပလော,kaˀ-cɔeˀn-paˀ-ləʊ ,กะ-จิน-ปะ-โลว ,,,n,แหวนปลอกมีด,,,,,,,,,,,,,,,,,
,563,ကစိန်မတ်,kaˀ-cɔeˀn-mòt ,กะ-จิน-ม่ด ,,,n,แหวนประดับด้วยอัญมณี,,,,,,,,,,,,,,,,,
,564,ကစုက်,kaˀ-cɤk ,กะ-เจิก ,,,v,โดน,v,กระทบ,,,,,,,,,,,,,,,
,565,ကဆိင်,kaˀ-cʰɤŋ ,กะ-เชิง ,,,n,ช่างฟ้อน,n,ช่างรำ,,,,,,,,,,,,,,,
,566,ကဇနာန်,kaˀ-cɛ̀ˀ-na̤n ,กะ-เจี่ยะ-น่าน ,,,n,ปลาหลด,,,,,,,,,,,,,,,,,
,567,ကဇိုင်ဒိပ်,kaˀ-cə̤ŋ-tìˀp ,กะ-จ่าฺง-ติ่บ ,,,n,ปลาหมอตาล,n,ปลาหมอช้างเหยียบ,,,,,,,,,,,,,,,
,568,ကညောအ်,kɒɲ-ɲòˀ ,กอญ-โญ่ะ ,,,adj,ย่น,adj,ยับ,adj,ไม่เรียบ,,,,,,,,,,,,,
,569,ကဍတ်,kaˀ-ɗɒt ,กะ-ดอด ,,,n,ปลาหมอ,,,,,,,,,,,,,,,,,
